NCTETID,DISTRICT,CLASS_11,CLASS_12,CLASS_13,SCHOOLYEAR_SP,OBSID,RATERID,OBSYEAR,OBSMONTH,OBSDAY,CHAPNUM,CLPC,CLNC,CLTS,CLRSP,CLBM,CLPRDT,CLILF,CLCU,CLAPS,CLQF,CLINSTD,CLSTENG,SCHOOLID
2501,13,1,0,0,2011,1140,8,2011,6,1,1,3.0,3.0,3.0,2.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,4.0,
2501,13,1,0,0,2011,1140,8,2011,6,1,2,3.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,
2501,13,1,0,0,2011,1142,16,2011,6,2,1,6.0,1.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,
2501,13,1,0,0,2011,1142,16,2011,6,2,2,6.0,1.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,
11001,11,1,0,0,2011,33,1,2010,12,6,1,5.0,1.0,4.0,4.0,7.0,7.0,5.0,4.0,3.0,3.0,3.0,5.0,1111.0
11001,11,1,0,0,2011,33,1,2010,12,6,2,5.0,1.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,3.0,5.0,5.0,1111.0
11001,11,1,0,0,2011,33,1,2010,12,6,3,5.0,1.0,5.0,4.0,6.0,7.0,5.0,4.0,4.0,3.0,4.0,6.0,1111.0
11001,11,1,0,0,2011,33,1,2010,12,6,4,5.0,1.0,4.0,4.0,7.0,7.0,5.0,4.0,4.0,4.0,5.0,6.0,1111.0
11001,11,1,0,0,2011,128,7,2011,1,18,1,4.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,1111.0
11001,11,1,0,0,2011,128,7,2011,1,18,2,5.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1111.0
11001,11,1,0,0,2011,128,7,2011,1,18,3,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,1111.0
11001,11,1,0,0,2011,455,17,2011,3,2,1,4.0,1.0,6.0,5.0,6.0,6.0,3.0,3.0,2.0,5.0,4.0,4.0,1111.0
11001,11,1,0,0,2011,455,17,2011,3,2,2,4.0,1.0,4.0,5.0,5.0,7.0,3.0,3.0,2.0,5.0,3.0,4.0,1111.0
11001,11,1,0,0,2011,455,17,2011,3,2,3,4.0,1.0,5.0,5.0,5.0,6.0,3.0,4.0,2.0,5.0,4.0,5.0,1111.0
11001,11,1,0,0,2011,455,17,2011,3,2,4,5.0,1.0,4.0,4.0,4.0,6.0,3.0,4.0,4.0,5.0,4.0,4.0,1111.0
11002,11,1,1,1,2011,30,7,2010,12,10,1,5.0,1.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,1106.0
11002,11,1,1,1,2011,30,7,2010,12,10,2,6.0,1.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,1106.0
11002,11,1,1,1,2011,30,7,2010,12,10,3,5.0,1.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,1106.0
11002,11,1,1,1,2011,30,7,2010,12,10,4,5.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1106.0
11002,11,1,1,1,2011,130,1,2011,1,20,1,3.0,1.0,3.0,3.0,6.0,7.0,3.0,3.0,2.0,2.0,2.0,4.0,1106.0
11002,11,1,1,1,2011,130,1,2011,1,20,2,3.0,1.0,4.0,3.0,6.0,7.0,3.0,4.0,3.0,2.0,2.0,5.0,1106.0
11002,11,1,1,1,2011,130,1,2011,1,20,3,4.0,1.0,4.0,3.0,7.0,7.0,3.0,4.0,4.0,2.0,3.0,5.0,1106.0
11002,11,1,1,1,2011,585,17,2011,3,16,1,5.0,1.0,6.0,6.0,6.0,7.0,4.0,5.0,3.0,5.0,5.0,4.0,1106.0
11002,11,1,1,1,2011,585,17,2011,3,16,2,5.0,1.0,5.0,6.0,6.0,6.0,5.0,6.0,2.0,4.0,3.0,5.0,1106.0
11002,11,1,1,1,2011,585,17,2011,3,16,3,5.0,1.0,4.0,5.0,6.0,6.0,5.0,5.0,2.0,6.0,5.0,6.0,1106.0
11002,11,1,1,1,2011,585,17,2011,3,16,4,5.0,1.0,5.0,4.0,6.0,7.0,4.0,5.0,3.0,5.0,3.0,6.0,1106.0
11002,11,1,1,1,2012,2375,16,2011,12,15,1,6.0,1.0,6.0,5.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,7.0,1106.0
11002,11,1,1,1,2012,2375,16,2011,12,15,2,7.0,1.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,7.0,6.0,7.0,1106.0
11002,11,1,1,1,2012,2375,16,2011,12,15,3,7.0,1.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,7.0,6.0,7.0,1106.0
11002,11,1,1,1,2012,2586,4,2012,1,26,1,4.0,1.0,5.0,5.0,6.0,7.0,5.0,5.0,3.0,4.0,4.0,6.0,1106.0
11002,11,1,1,1,2012,2586,4,2012,1,26,2,4.0,1.0,4.0,4.0,6.0,6.0,4.0,4.0,3.0,3.0,4.0,6.0,1106.0
11002,11,1,1,1,2012,2586,4,2012,1,26,3,4.0,1.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,1106.0
11002,11,1,1,1,2012,2586,4,2012,1,26,4,4.0,1.0,4.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,1106.0
11002,11,1,1,1,2012,2771,17,2012,3,1,1,5.0,1.0,4.0,3.0,6.0,7.0,4.0,4.0,4.0,5.0,4.0,4.0,1106.0
11002,11,1,1,1,2012,2771,17,2012,3,1,2,5.0,1.0,4.0,4.0,6.0,7.0,4.0,4.0,3.0,5.0,4.0,4.0,1106.0
11002,11,1,1,1,2012,2771,17,2012,3,1,3,6.0,1.0,4.0,3.0,6.0,7.0,4.0,5.0,4.0,5.0,5.0,5.0,1106.0
11002,11,1,1,1,2012,2771,17,2012,3,1,4,5.0,1.0,5.0,4.0,6.0,7.0,4.0,5.0,3.0,5.0,4.0,4.0,1106.0
11002,11,1,1,1,2013,4250,15,2012,12,13,2,4.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,1106.0
11002,11,1,1,1,2013,4250,15,2012,12,13,3,3.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,1106.0
11002,11,1,1,1,2013,4599,4,2013,2,28,1,4.0,1.0,5.0,4.0,7.0,7.0,5.0,5.0,4.0,5.0,6.0,6.0,1106.0
11002,11,1,1,1,2013,4599,4,2013,2,28,2,4.0,1.0,5.0,5.0,7.0,7.0,6.0,6.0,5.0,4.0,5.0,7.0,1106.0
11002,11,1,1,1,2013,4599,4,2013,2,28,3,4.0,1.0,6.0,4.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,7.0,1106.0
11002,11,1,1,1,2013,4599,4,2013,2,28,4,4.0,1.0,6.0,3.0,7.0,7.0,5.0,6.0,4.0,5.0,6.0,7.0,1106.0
11002,11,1,1,1,2013,4678,8,2013,4,10,1,3.0,2.0,4.0,3.0,7.0,7.0,4.0,3.0,3.0,3.0,3.0,4.0,1106.0
11002,11,1,1,1,2013,4678,8,2013,4,10,2,2.0,2.0,4.0,2.0,6.0,7.0,5.0,3.0,3.0,2.0,3.0,4.0,1106.0
11002,11,1,1,1,2013,4678,8,2013,4,10,3,3.0,2.0,4.0,3.0,6.0,6.0,4.0,3.0,3.0,2.0,3.0,4.0,1106.0
11002,11,1,1,1,2013,4678,8,2013,4,10,4,2.0,2.0,4.0,2.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,4.0,1106.0
11003,11,0,1,1,2012,2191,3,2011,11,30,1,3.0,3.0,4.0,4.0,6.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,1113.0
11003,11,0,1,1,2012,2191,3,2011,11,30,2,3.0,3.0,4.0,2.0,7.0,7.0,6.0,4.0,3.0,4.0,5.0,6.0,1113.0
11003,11,0,1,1,2012,2191,3,2011,11,30,3,4.0,2.0,6.0,5.0,7.0,7.0,6.0,5.0,4.0,4.0,5.0,6.0,1113.0
11003,11,0,1,1,2012,2458,10,2012,1,10,1,3.0,1.0,5.0,4.0,7.0,7.0,5.0,3.0,2.0,3.0,3.0,5.0,1113.0
11003,11,0,1,1,2012,2458,10,2012,1,10,2,3.0,1.0,4.0,3.0,6.0,6.0,4.0,3.0,4.0,6.0,5.0,5.0,1113.0
11003,11,0,1,1,2012,2458,10,2012,1,10,3,3.0,1.0,4.0,3.0,7.0,7.0,3.0,5.0,4.0,6.0,5.0,6.0,1113.0
11003,11,0,1,1,2012,2458,10,2012,1,10,4,3.0,1.0,3.0,5.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,5.0,1113.0
11003,11,0,1,1,2012,2756,4,2012,2,28,4,5.0,1.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,5.0,6.0,1113.0
11003,11,0,1,1,2013,4083,9,2012,11,13,1,2.0,1.0,2.0,2.0,7.0,7.0,3.0,4.0,3.0,2.0,2.0,4.0,1113.0
11003,11,0,1,1,2013,4083,9,2012,11,13,2,2.0,1.0,3.0,2.0,7.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,1113.0
11003,11,0,1,1,2013,4083,9,2012,11,13,3,2.0,1.0,2.0,2.0,7.0,6.0,3.0,4.0,1.0,2.0,1.0,4.0,1113.0
11003,11,0,1,1,2013,4240,4,2012,12,11,1,4.0,1.0,5.0,3.0,7.0,7.0,4.0,4.0,3.0,4.0,3.0,6.0,1113.0
11003,11,0,1,1,2013,4240,4,2012,12,11,2,4.0,1.0,5.0,4.0,7.0,7.0,5.0,5.0,4.0,4.0,5.0,6.0,1113.0
11003,11,0,1,1,2013,4240,4,2012,12,11,3,4.0,1.0,5.0,4.0,7.0,7.0,5.0,5.0,4.0,4.0,5.0,6.0,1113.0
11003,11,0,1,1,2013,4240,4,2012,12,11,4,4.0,1.0,5.0,4.0,7.0,7.0,5.0,5.0,4.0,4.0,5.0,6.0,1113.0
11003,11,0,1,1,2013,4633,8,2013,3,5,1,2.0,2.0,4.0,4.0,7.0,7.0,5.0,3.0,3.0,2.0,4.0,5.0,1113.0
11003,11,0,1,1,2013,4633,8,2013,3,5,2,2.0,2.0,4.0,3.0,7.0,7.0,5.0,4.0,3.0,2.0,3.0,5.0,1113.0
11003,11,0,1,1,2013,4633,8,2013,3,5,3,2.0,2.0,4.0,3.0,7.0,7.0,5.0,3.0,3.0,2.0,3.0,5.0,1113.0
11003,11,0,1,1,2013,4633,8,2013,3,5,4,2.0,2.0,5.0,3.0,7.0,7.0,4.0,3.0,3.0,2.0,4.0,5.0,1113.0
11003,11,0,1,1,2013,4633,8,2013,3,5,5,2.0,2.0,5.0,3.0,7.0,7.0,4.0,3.0,3.0,3.0,4.0,5.0,1113.0
11004,11,1,1,0,2011,78,17,2011,1,7,1,5.0,1.0,5.0,5.0,6.0,7.0,6.0,5.0,3.0,5.0,4.0,6.0,1107.0
11004,11,1,1,0,2011,78,17,2011,1,7,2,5.0,1.0,5.0,5.0,7.0,7.0,6.0,5.0,3.0,6.0,6.0,5.0,1107.0
11004,11,1,1,0,2011,78,17,2011,1,7,3,5.0,1.0,5.0,6.0,7.0,7.0,5.0,5.0,4.0,6.0,4.0,6.0,1107.0
11004,11,1,1,0,2011,78,17,2011,1,7,4,5.0,2.0,4.0,5.0,6.0,7.0,5.0,4.0,3.0,5.0,4.0,5.0,1107.0
11004,11,1,1,0,2011,208,10,2011,2,4,1,5.0,1.0,6.0,3.0,6.0,5.0,6.0,4.0,4.0,6.0,3.0,7.0,1107.0
11004,11,1,1,0,2011,208,10,2011,2,4,2,6.0,1.0,6.0,5.0,6.0,6.0,4.0,5.0,3.0,7.0,5.0,7.0,1107.0
11004,11,1,1,0,2011,208,10,2011,2,4,3,5.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,7.0,1107.0
11004,11,1,1,0,2011,208,10,2011,2,4,4,4.0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,6.0,4.0,6.0,1107.0
11004,11,1,1,0,2011,574,16,2011,3,10,1,6.0,1.0,6.0,3.0,6.0,7.0,5.0,6.0,3.0,5.0,5.0,6.0,1107.0
11004,11,1,1,0,2011,574,16,2011,3,10,2,5.0,1.0,5.0,4.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,7.0,1107.0
11004,11,1,1,0,2011,574,16,2011,3,10,3,5.0,1.0,5.0,4.0,6.0,6.0,6.0,5.0,4.0,6.0,5.0,6.0,1107.0
11004,11,1,1,0,2012,2393,17,2011,12,20,1,6.0,1.0,5.0,5.0,6.0,7.0,4.0,5.0,3.0,5.0,5.0,4.0,1107.0
11004,11,1,1,0,2012,2393,17,2011,12,20,2,6.0,1.0,4.0,3.0,5.0,7.0,4.0,5.0,3.0,5.0,3.0,4.0,1107.0
11004,11,1,1,0,2012,2393,17,2011,12,20,3,5.0,1.0,4.0,4.0,6.0,7.0,4.0,5.0,4.0,5.0,4.0,4.0,1107.0
11004,11,1,1,0,2012,2393,17,2011,12,20,4,6.0,1.0,5.0,4.0,6.0,7.0,4.0,5.0,3.0,5.0,5.0,5.0,1107.0
11004,11,1,1,0,2012,2393,17,2011,12,20,5,4.0,1.0,4.0,3.0,6.0,7.0,4.0,5.0,3.0,5.0,3.0,4.0,1107.0
11004,11,1,1,0,2012,2571,4,2012,1,24,1,5.0,2.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,1107.0
11004,11,1,1,0,2012,2571,4,2012,1,24,2,5.0,1.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,1107.0
11004,11,1,1,0,2012,2571,4,2012,1,24,3,5.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1107.0
11004,11,1,1,0,2012,2571,4,2012,1,24,4,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,1107.0
11004,11,1,1,0,2012,2571,4,2012,1,24,5,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,1107.0
11004,11,1,1,0,2012,2816,12,2012,3,13,1,7.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,3.0,4.0,4.0,7.0,1107.0
11004,11,1,1,0,2012,2816,12,2012,3,13,2,7.0,1.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,7.0,1107.0
11004,11,1,1,0,2012,2816,12,2012,3,13,3,7.0,1.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,7.0,1107.0
11004,11,1,1,0,2012,2816,12,2012,3,13,4,7.0,1.0,5.0,5.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,7.0,1107.0
